"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R1,R2";"0603R";2;"10k";;;
2;"C1,C2";"0603C";2;"0.1uF";;;
3;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
4;",,,,,,";"buzzardLabel";7;"";;;
5;"K2";"HEADER-UPDI";1;"HEADER-UPDI";;;
6;"K1,K3";"easyC-connector";2;"easyC-SMD";;;
7;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
8;"U2";"SOIC-14";1;"ATTINY404-SSNR";;;
9;"K4";"DSHP03TS-S";1;"DSHP03TS-S";;;
10;"FD1,FD2";"FIDUCIAL_23";2;"FIDUCIAL";;;
11;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
12;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
13;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
14;"G***";"Symbol-Front-Magnetic-Field";1;"LOGO";;;
15;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
16;"REF**";"Symbol-Front_I2C_ADDR_CUSTOM";1;"Symbol-Front_I2C_ADDR_CUSTOM";;;
17;"U1";"SOT-23-3";1;"SI7201-B-06-IV";;;
